SDD;EDN;SDD_num;EDN_num
Contraction utérine chez une femme enceinte;Accouchement, délivrance et suites de couches normales;98;31
Contracture musculaire localisée ou généralisée;Prescription et surveillance des psychotropes (voir item 330);29;74
Contracture musculaire localisée ou généralisée;Mouvements anormaux;29;107
Contracture musculaire localisée ou généralisée;Tétanos;29;160
Convulsions;Maltraitance et enfants en danger. Protection maternelle et infantile;120;57
Convulsions;Épilepsie de l'enfant et de l'adulte;120;105
Convulsions;Confusion, démences. (voir item 132);120;108
Convulsions;Méningites, méningoencéphalites, abcès cérébral chez l'adulte et l'enfant;120;151
Convulsions;Hypoglycémie chez l'adulte et l'enfant;120;240
Convulsions;Tumeurs intracrâniennes;120;299
Convulsions;Coma non traumatique chez l'adulte et chez l'enfant;120;336
Convulsions;Hémorragie méningée;120;341
Convulsions;Malaise, perte de connaissance, crise comitiale chez l'adulte (voir item 105);120;342
Convulsions;État confusionnel et trouble de conscience chez l'adulte et chez l'enfant;120;343
Convulsions;Malaise grave du nourrisson et mort inattendue du nourrisson;120;345
Convulsions;Convulsions chez le nourrisson et chez l'enfant;120;346
Corps étranger de l'oreille ou du nez;Epistaxis;142;87
Corps étranger de l'oreille ou du nez;Altération de la fonction auditive;142;89
Corps étranger de l'oreille ou du nez;Infections naso-sinusiennes de l'adulte et de l'enfant;142;148
Corps étranger de l'oreille ou du nez;Otites infectieuses de l'adulte et de l'enfant;142;150
Créatinine augmentée;Élévation de la créatininémie;199;258
Créatinine augmentée;Protéinurie et syndrome néphrotique chez l'adulte et de l'enfant;199;259
Créatinine augmentée;Néphropathie glomérulaire;199;261
Créatinine augmentée;Néphropathies interstitielles;199;262
Créatinine augmentée;Néphropathies vasculaires;199;263
Créatinine augmentée;Insuffisance rénale chronique chez l'adulte et l'enfant;199;264
Créatinine augmentée;Lithiase urinaire;199;265
Créatinine augmentée;Polykystose rénale;199;266
Créatinine augmentée;Troubles de l'équilibre acido-basique et désordres hydro-électrolytiques;199;267
Créatinine augmentée;Rétention aiguë d'urine;199;347
Créatinine augmentée;Insuffisance rénale aiguë - Anurie;199;348
Céphalée;Migraine, névralgie du trijumeau et algies de la face;118;99
Céphalée;Céphalée inhabituelle aiguë et chronique chez l'adulte et l'enfant;118;100
Céphalée;Bases neurophysiologiques, mécanismes physiopathologiques d'une douleur aiguë et d'une douleur chronique;118;134
Céphalée;Thérapeutiques antalgiques, médicamenteuses et non médicamenteuses. (voir item 330);118;135
Céphalée;Douleur chez l'enfant : évaluation et traitements antalgique;118;137
Céphalée;Artérite à cellules géantes;118;195
Demande d'amaigrissement;Modifications thérapeutiques du mode de vie (alimentation et activité physique) chez l'adulte et l'enfant;270;249
Demande d'amaigrissement;Obésité de l'enfant et de l'adulte (voir item 71);270;253
Demande d'amaigrissement;Éducation thérapeutique, observance et automédication;270;324
Demande d'explication d'un patient sur le déroulement, les risques et les bénéfices attendus d'un examen d'imagerie;La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale;232;1
Demande d'explication d'un patient sur le déroulement, les risques et les bénéfices attendus d'un examen d'imagerie;Qualité et sécurité des soins. La sécurité du patient. La gestion des risques. Les événements indésirables associés aux soins (EIAS). Démarche qualité et évaluation des pratiques professionnelles;232;4
Demande d'explication d'un patient sur le déroulement, les risques et les bénéfices attendus d'un examen d'imagerie;Prévention des risques fœtaux : infection, médicaments, toxiques, irradiation;232;27
Demande d'explication d'un patient sur le déroulement, les risques et les bénéfices attendus d'un examen d'imagerie;Risques sanitaires liés aux irradiations. Radioprotection;232;180
Demande d'explication d'un patient sur le déroulement, les risques et les bénéfices attendus d'un examen d'imagerie;Principe du bon usage du médicament et des thérapeutiques non médicamenteuses;232;321
Demande d'interruption volontaire de grossesse;La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale;332;1
Demande d'interruption volontaire de grossesse;Violences et santé;332;11
Demande d'interruption volontaire de grossesse;Violences sexuelles;332;12
Demande d'interruption volontaire de grossesse;Contraception. (voir item 330);332;36
Demande d'interruption volontaire de grossesse;Interruption volontaire de grossesse;332;37
Demande d'un certificat médical initial;Les droits individuels et collectifs du patient;333;7
Demande d'un certificat médical initial;Violences et santé;333;11
Demande d'un certificat médical initial;Violences sexuelles;333;12
Demande d'un certificat médical initial;Certificats médicaux. Décès et législation;333;13
Demande d'un examen d'imagerie;Le raisonnement et la décision en médecine. La médecine fondée sur les preuves (Evidence Based Medicine, EBM). La décision médicale partagée. La controverse;231;3
Demande d'un examen d'imagerie;Prévention des risques fœtaux : infection, médicaments, toxiques, irradiation;231;27
Demande d'un examen d'imagerie;Risques sanitaires liés aux irradiations. Radioprotection;231;180
Demande d'un examen d'imagerie;Principe du bon usage du médicament et des thérapeutiques non médicamenteuses;231;321
Demande de traitement et investigation inappropriés;La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale;334;1
Demande de traitement et investigation inappropriés;Le raisonnement et la décision en médecine. La médecine fondée sur les preuves (Evidence Based Medicine, EBM). La décision médicale partagée. La controverse;334;3
Demande de traitement et investigation inappropriés;Les droits individuels et collectifs du patient;334;7
Demande de traitement et investigation inappropriés;Soins palliatifs pluridisciplinaires chez un malade en phase palliative ou terminale d'une maladie grave, chronique ou létale (2). Accompagnement de la personne malade et de son entourage. Principaux repères éthiques;334;140
Demande de traitement et investigation inappropriés;Principe du bon usage du médicament et des thérapeutiques non médicamenteuses;334;321
Demande de traitement et investigation inappropriés;La décision thérapeutique personnalisée : bon usage dans des situations à risque;334;322
Demande de traitement et investigation inappropriés;Analyser et utiliser les résultats des études cliniques dans la perspective du bon usage - analyse critique, recherche clinique et niveaux de preuve (voir item 3);334;323
Demande de traitement et investigation inappropriés;Identification et gestion des risques liés aux médicaments et aux biomatériaux, risque iatrogène, erreur médicamenteuse (voir items 4 et 5);334;325
Demande de traitement et investigation inappropriés;Cadre réglementaire de la prescription thérapeutique et recommandations pour le bon usage;334;326
Demande de traitement et investigation inappropriés;Thérapeutiques non médicamenteuses et dispositifs médicaux;334;328
Demande de traitement et investigation inappropriés;Prescription et surveillance des classes de médicaments les plus courantes chez l'adulte et chez l'enfant, hors anti-infectieux (voir item 177). Connaître le bon usage des principales classes thérapeutiques;334;330
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Qualité et sécurité des soins. La sécurité du patient. La gestion des risques. Les événements indésirables associés aux soins (EIAS). Démarche qualité et évaluation des pratiques professionnelles;238;4
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Infections broncho pulmonaires communautaires de l'adulte et de l'enfant;238;154
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Diarrhées infectieuses de l'adulte et de l'enfant;238;176
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Hémoptysie;238;205
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Opacités et masses intra-thoraciques chez l'enfant et chez l'adulte;238;207
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Pneumopathie interstitielle diffuse;238;210
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Anémie chez l'adulte et l'enfant;238;213
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Douleurs abdominales aiguës chez l'enfant et chez l'adulte;238;269
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Reflux gastro-œsophagien chez le nourrisson, chez l'enfant et chez l'adulte. Hernie hiatale;238;271
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Ulcère gastrique et duodénal. Gastrite;238;272
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Dysphagie;238;273
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Vomissements du nourrisson, de l'enfant et de l'adulte;238;274
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Lithiase biliaire et complications;238;277
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Ictère de l'adulte et de l'enfant;238;278
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Cirrhose et complications;238;279
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Ascite;238;280
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Pancréatite chronique;238;281
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Maladies inflammatoires chroniques de l'intestin (MICI) chez l'adulte;238;282
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Diarrhée chronique chez l'adulte et l'enfant;238;285
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Diarrhée aiguë et déshydratation chez le nourrisson, l'enfant et l'adulte;238;286
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);"Diagnostic des cancers : signes d'appel et investigations para-cliniques ; caractérisation du stade ; pronostic";238;292
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Tumeurs du colon et du rectum;238;301
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Tumeurs de l'estomac;238;303
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Tumeurs de l'œsophage;238;305
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Tumeurs du pancréas;238;308
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Tumeurs du poumon, primitives et secondaires;238;309
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Thérapeutiques non médicamenteuses et dispositifs médicaux;238;328
Demande et préparation aux examens endoscopiques (bronchiques, digestifs);Hémorragie digestive;238;355
Demande/prescription raisonnée et choix d'un examen diagnostique;Le raisonnement et la décision en médecine. La médecine fondée sur les preuves (Evidence Based Medicine, EBM). La décision médicale partagée. La controverse;178;3
Demande/prescription raisonnée et choix d'un examen diagnostique;Qualité et sécurité des soins. La sécurité du patient. La gestion des risques. Les événements indésirables associés aux soins (EIAS). Démarche qualité et évaluation des pratiques professionnelles;178;4
Demande/prescription raisonnée et choix d'un examen diagnostique;La sécurité sociale. L'assurance maladie. Les assurances complémentaires. La complémentaire santé solidaire (CSS). La consommation médicale. Protection sociale. Consommation médicale et économie de la santé;178;19
Demande/prescription raisonnée et choix d'un examen diagnostique;Prévention des risques fœtaux : infection, médicaments, toxiques, irradiation;178;27
Demande/prescription raisonnée et choix d'un examen diagnostique;Spécificités des maladies génétiques. (voir item 9);178;45
Demande/prescription raisonnée et choix d'un examen diagnostique;Médecine génomique;178;46
Demande/prescription raisonnée et choix d'un examen diagnostique;Risques sanitaires liés aux irradiations. Radioprotection;178;180
Demande/prescription raisonnée et choix d'un examen diagnostique;Épidémiologie, facteurs de risque, prévention et dépistage des cancers;178;290
Demande/prescription raisonnée et choix d'un examen diagnostique;Le médecin préleveur de cellules et/ou de tissus pour des examens d'Anatomie et Cytologie Pathologiques : connaître les principes de réalisation, transmission et utilisation des prélèvements à visée sanitaire et de recherche;178;293
Demande/prescription raisonnée et choix d'un examen diagnostique;Principe du bon usage du médicament et des thérapeutiques non médicamenteuses;178;321
Demande/prescription raisonnée et choix d'un examen diagnostique;Analyser et utiliser les résultats des études cliniques dans la perspective du bon usage - analyse critique, recherche clinique et niveaux de preuve (voir item 3);178;323
Diarrhée;Parasitoses digestives : giardiose, amoebose, téniasis, ascaridiose, oxyurose, anguillulose, cryptosporidiose;2;172
Diarrhée;Pathologie infectieuse chez les migrants adultes et enfants;2;174
Diarrhée;Voyage en pays tropical de l'adulte et de l'enfant : conseils avant le départ, pathologies du retour : fièvre, diarrhée, manifestations cutanées;2;175
Diarrhée;Diarrhées infectieuses de l'adulte et de l'enfant;2;176
Diarrhée;Prescription et surveillance des anti-infectieux chez l'adulte et l'enfant (voir item 330);2;177
Diarrhée;Risques sanitaires liés à l'eau et à l'alimentation. Toxi-infections alimentaires;2;179
Diarrhée;Dénutrition chez l'adulte et l'enfant;2;250
Diarrhée;Amaigrissement à tous les âges;2;251
Diarrhée;Douleurs abdominales aiguës chez l'enfant et chez l'adulte;2;269
Diarrhée;Pancréatite chronique;2;281
Diarrhée;Maladies inflammatoires chroniques de l'intestin (MICI) chez l'adulte;2;282
Diarrhée;Colopathie fonctionnelle;2;284
Diarrhée;Diarrhée chronique chez l'adulte et l'enfant;2;285
Diarrhée;Diarrhée aiguë et déshydratation chez le nourrisson, l'enfant et l'adulte;2;286
Diarrhée;Prescription et surveillance des classes de médicaments les plus courantes chez l'adulte et chez l'enfant, hors anti-infectieux (voir item 177). Connaître le bon usage des principales classes thérapeutiques;2;330
Difficulté à procréer;Connaître les principaux risques professionnels pour la maternité, liés au travail de la mère;33;29
Difficulté à procréer;Anomalies du cycle menstruel. Métrorragies;33;35
Difficulté à procréer;Infertilité du couple : conduite de la première consultation;33;38
Difficulté à procréer;Assistance médicale à la procréation : principaux aspects biologiques, médicaux et éthiques;33;39
Difficulté à procréer;Endométriose;33;41
Difficulté à procréer;Aménorrhée;33;42
Difficulté à procréer;Pathologie génito-scrotale chez le garçon et chez l'homme;33;50
Difficulté à procréer;Sexualité normale et ses troubles;33;58
Difficulté à procréer;Ménopause, insuffisance ovarienne prématurée, andropause, déficit androgénique lié à l'âge. (Voir item 330);33;124
Difficulté à procréer;Infections sexuellement transmissibles (IST) : gonococcies, chlamydioses, syphilis, papillomavirus humain (HPV), trichomonose;33;162
Diminution de la diurèse;Élévation de la créatininémie;22;258
Diminution de la diurèse;Protéinurie et syndrome néphrotique chez l'adulte et de l'enfant;22;259
Diminution de la diurèse;Néphropathie glomérulaire;22;261
Diminution de la diurèse;Néphropathies interstitielles;22;262
Diminution de la diurèse;Néphropathies vasculaires;22;263
Diminution de la diurèse;Lithiase urinaire;22;265
Diminution de la diurèse;Polykystose rénale;22;266
Diminution de la diurèse;Troubles de l'équilibre acido-basique et désordres hydro-électrolytiques;22;267
Diminution de la diurèse;Rétention aiguë d'urine;22;347
Diminution de la diurèse;Insuffisance rénale aiguë - Anurie;22;348
Diminution du taux de prothrombine (TP);Hépatites virales;218;167
Diminution du taux de prothrombine (TP);Hémogramme chez l'adulte et l'enfant : indications et interprétation;218;212
Diminution du taux de prothrombine (TP);Syndrome hémorragique d'origine hématologique;218;216
Diminution du taux de prothrombine (TP);Cirrhose et complications;218;279
Diminution du taux de prothrombine (TP);Prescription et surveillance des classes de médicaments les plus courantes chez l'adulte et chez l'enfant, hors anti-infectieux (voir item 177). Connaître le bon usage des principales classes thérapeutiques;218;330
Diminution du taux de prothrombine (TP);État de choc. Principales étiologies : hypovolémique, septique (voir item 158), cardio-génique, anaphylactique;218;332
Diplopie;Diplopie;143;102
Distension abdominale;Tuméfaction pelvienne chez la femme;3;44
Distension abdominale;Douleurs abdominales aiguës chez l'enfant et chez l'adulte;3;269
Distension abdominale;Cirrhose et complications;3;279
Distension abdominale;Ascite;3;280
Distension abdominale;Constipation chez l'enfant et l'adulte;3;283
Distension abdominale;Colopathie fonctionnelle;3;284
Distension abdominale;Tumeurs du colon et du rectum;3;301
Distension abdominale;Syndrome occlusif de l'enfant et de l'adulte;3;354
Distension abdominale;Péritonite aiguë chez l'enfant et chez l'adulte;3;357
Distension abdominale;Pancréatite aiguë;3;358
Douleur abdominale;Grossesse extra-utérine;4;25
Douleur abdominale;Douleur abdominale aiguë chez une femme enceinte;4;26
Douleur abdominale;Endométriose;4;41
Douleur abdominale;Infections urinaires de l'enfant et de l'adulte;4;161
Douleur abdominale;Lithiase urinaire;4;265
Douleur abdominale;Douleurs abdominales aiguës chez l'enfant et chez l'adulte;4;269
Douleur abdominale;Ulcère gastrique et duodénal. Gastrite;4;272
Douleur abdominale;Lithiase biliaire et complications;4;277
Douleur abdominale;Pancréatite chronique;4;281
Douleur abdominale;Maladies inflammatoires chroniques de l'intestin (MICI) chez l'adulte;4;282
Douleur abdominale;Constipation chez l'enfant et l'adulte;4;283
Douleur abdominale;Colopathie fonctionnelle;4;284
Douleur abdominale;Diverticulose colique et diverticulite aiguë du sigmoïde;4;287
Douleur abdominale;Hernie pariétale chez l'enfant et l'adulte;4;289
Douleur abdominale;Tumeurs du colon et du rectum;4;301
Douleur abdominale;Rétention aiguë d'urine;4;347
Douleur abdominale;Syndrome occlusif de l'enfant et de l'adulte;4;354
Douleur abdominale;Appendicite de l'enfant et de l'adulte;4;356
Douleur abdominale;Péritonite aiguë chez l'enfant et chez l'adulte;4;357
Douleur abdominale;Pancréatite aiguë;4;358
Douleur aiguë post-opératoire;Bases neurophysiologiques, mécanismes physiopathologiques d'une douleur aiguë et d'une douleur chronique;34;134
Douleur aiguë post-opératoire;Thérapeutiques antalgiques, médicamenteuses et non médicamenteuses. (voir item 330);34;135
Douleur aiguë post-opératoire;Anesthésie locale, locorégionale et générale;34;136
Douleur aiguë post-opératoire;Douleur chez l'enfant : évaluation et traitements antalgique;34;137
Douleur aiguë post-opératoire;Douleur chez la personne vulnérable;34;138
Douleur anale;Infections sexuellement transmissibles (IST) : gonococcies, chlamydioses, syphilis, papillomavirus humain (HPV), trichomonose;5;162
Douleur anale;Parasitoses digestives : giardiose, amoebose, téniasis, ascaridiose, oxyurose, anguillulose, cryptosporidiose;5;172
Douleur anale;Maladies inflammatoires chroniques de l'intestin (MICI) chez l'adulte;5;282
Douleur anale;Diarrhée aiguë et déshydratation chez le nourrisson, l'enfant et l'adulte;5;286
Douleur anale;Pathologie hémorroïdaire;5;288
Douleur anale;Tumeurs du colon et du rectum;5;301
Douleur cervico-faciale;Rachialgie;144;94
Douleur cervico-faciale;Migraine, névralgie du trijumeau et algies de la face;144;99
Douleur cervico-faciale;Thérapeutiques antalgiques, médicamenteuses et non médicamenteuses. (voir item 330);144;135
Douleur cervico-faciale;Prescription et surveillance des classes de médicaments les plus courantes chez l'adulte et chez l'enfant, hors anti-infectieux (voir item 177). Connaître le bon usage des principales classes thérapeutiques;144;330
Douleur chronique;Arthrose;35;129
Douleur chronique;Bases neurophysiologiques, mécanismes physiopathologiques d'une douleur aiguë et d'une douleur chronique;35;134
Douleur chronique;Thérapeutiques antalgiques, médicamenteuses et non médicamenteuses. (voir item 330);35;135
Douleur chronique;Douleur chez l'enfant : évaluation et traitements antalgique;35;137
Douleur chronique;Douleur chez la personne vulnérable;35;138
Douleur chronique;Syndrome douloureux régional complexe (ex algodystrophie);35;199
Douleur chronique;Thérapeutiques non médicamenteuses et dispositifs médicaux;35;328
Douleur d'un membre (supérieur ou inférieur);Troubles à symptomatologie somatique et apparentés à tous les âges;71;72
Douleur d'un membre (supérieur ou inférieur);Compression médullaire non traumatique et syndrome de la queue de cheval;71;93
Douleur d'un membre (supérieur ou inférieur);Radiculalgie et syndrome canalaire;71;95
Douleur d'un membre (supérieur ou inférieur);Neuropathies périphériques;71;96
Douleur d'un membre (supérieur ou inférieur);Polyradiculonévrite aiguë inflammatoire (syndrome de Guillain-Barré);71;97
Douleur d'un membre (supérieur ou inférieur);Principales techniques de rééducation et de réadaptation. (voir item 55);71;122
Douleur d'un membre (supérieur ou inférieur);Syndrome douloureux régional complexe (ex algodystrophie);71;199
Douleur d'un membre (supérieur ou inférieur);Douleur et épanchement articulaire. Arthrite d'évolution récente;71;200
Douleur d'un membre (supérieur ou inférieur);"Artériopathie de l'aorte, des artères viscérales et des membres inférieurs ; anévrysmes";71;225
Douleur d'un membre (supérieur ou inférieur);Thrombose veineuse profonde et embolie pulmonaire (voir item 330);71;226
Douleur d'un membre (supérieur ou inférieur);Infection aiguë des parties molles (abcès, panaris, phlegmon des gaines);71;349
Douleur d'un membre (supérieur ou inférieur);Grosse jambe rouge aiguë;71;350
Douleur d'un membre (supérieur ou inférieur);Lésions péri-articulaires et ligamentaires du genou, de la cheville et de l'épaule;71;361
Douleur d'un membre (supérieur ou inférieur);Fractures fréquentes de l'adulte et du sujet âgé;71;363
Douleur de la région lombaire;Rachialgie;36;94
Douleur de la région lombaire;Thérapeutiques antalgiques, médicamenteuses et non médicamenteuses. (voir item 330);36;135
Douleur de la région lombaire;Infections urinaires de l'enfant et de l'adulte;36;161
Douleur de la région lombaire;Lithiase urinaire;36;265
Douleur de la région lombaire;Douleurs lombaires aiguës;36;270
Douleur du rachis (cervical, dorsal ou lombaire);Suivi d'un nourrisson, d'un enfant et d'un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles;72;47
Douleur du rachis (cervical, dorsal ou lombaire);Rachialgie;72;94
Douleur du rachis (cervical, dorsal ou lombaire);Soins et accompagnement dans la maladie chronique et le handicap;72;119
Douleur du rachis (cervical, dorsal ou lombaire);Principales techniques de rééducation et de réadaptation. (voir item 55);72;122
Douleur du rachis (cervical, dorsal ou lombaire);Thérapeutiques antalgiques, médicamenteuses et non médicamenteuses. (voir item 330);72;135
Douleur du rachis (cervical, dorsal ou lombaire);Douleurs lombaires aiguës;72;270
Douleur du rachis (cervical, dorsal ou lombaire);Prescription et surveillance des classes de médicaments les plus courantes chez l'adulte et chez l'enfant, hors anti-infectieux (voir item 177). Connaître le bon usage des principales classes thérapeutiques;72;330
Douleur pelvienne;Grossesse extra-utérine;99;25
Douleur pelvienne;Algies pelviennes chez la femme;99;40
Douleur pelvienne;Endométriose;99;41
Douleur pelvienne;Tuméfaction pelvienne chez la femme;99;44
Douleur pelvienne;Pathologie génito-scrotale chez le garçon et chez l'homme;99;50
Douleur pelvienne;Infections urinaires de l'enfant et de l'adulte;99;161
Douleur pelvienne;Infections sexuellement transmissibles (IST) : gonococcies, chlamydioses, syphilis, papillomavirus humain (HPV), trichomonose;99;162
Douleur pelvienne;Diarrhées infectieuses de l'adulte et de l'enfant;99;176
Douleur pelvienne;Lithiase urinaire;99;265
Douleur pelvienne;Constipation chez l'enfant et l'adulte;99;283
Douleur pelvienne;Hernie pariétale chez l'enfant et l'adulte;99;289
Douleur pelvienne;Rétention aiguë d'urine;99;347
Douleur pelvienne;Appendicite de l'enfant et de l'adulte;99;356
Douleur pharyngée;Fièvre chez un patient immunodéprimé;145;191
Douleur testiculaire;Pathologie génito-scrotale chez le garçon et chez l'homme;100;50
Douleur testiculaire;Infections urinaires de l'enfant et de l'adulte;100;161
Douleur testiculaire;Prise en charge immédiate pré-hospitalière et à l'arrivée à l'hôpital, évaluation des complications chez : un brûlé, un polytraumatisé, un traumatisé thoracique, un traumatisé abdominal, un traumatisé des membres et/ou du bassin, un traumatisé du rachis ou vertébro-médullaire, un traumatisé crânien ou crânio-encéphalique;100;334
Douleur thoracique;Infections broncho pulmonaires communautaires de l'adulte et de l'enfant;161;154
Douleur thoracique;Dyspnée aiguë et chronique;161;203
Douleur thoracique;Épanchement pleural liquidien;161;206
Douleur thoracique;"Artériopathie de l'aorte, des artères viscérales et des membres inférieurs ; anévrysmes";161;225
Douleur thoracique;Thrombose veineuse profonde et embolie pulmonaire (voir item 330);161;226
Douleur thoracique;Douleur thoracique aiguë;161;230
Douleur thoracique;Électrocardiogramme : indications et interprétations;161;231
Douleur thoracique;Péricardite aiguë;161;235
Douleur thoracique;Reflux gastro-œsophagien chez le nourrisson, chez l'enfant et chez l'adulte. Hernie hiatale;161;271
Douleur thoracique;Ulcère gastrique et duodénal. Gastrite;161;272
Douleur thoracique;Lithiase biliaire et complications;161;277
Douleur thoracique;Syndromes coronariens aigus;161;339
Douleur thoracique;Pneumothorax;161;360
Douleur, brûlure, crampes et paresthésies;Compression médullaire non traumatique et syndrome de la queue de cheval;73;93
Douleur, brûlure, crampes et paresthésies;Radiculalgie et syndrome canalaire;73;95
Douleur, brûlure, crampes et paresthésies;Neuropathies périphériques;73;96
Douleur, brûlure, crampes et paresthésies;Bases neurophysiologiques, mécanismes physiopathologiques d'une douleur aiguë et d'une douleur chronique;73;134
Douleur, brûlure, crampes et paresthésies;Douleur chez la personne vulnérable;73;138
Douleur, brûlure, crampes et paresthésies;Syndrome douloureux régional complexe (ex algodystrophie);73;199
Douleur, brûlure, crampes et paresthésies;"Artériopathie de l'aorte, des artères viscérales et des membres inférieurs ; anévrysmes";73;225
Douleur, brûlure, crampes et paresthésies;Diabète sucré de type 1 et 2 de l'enfant et de l'adulte. Complications;73;247
Douleur, brûlure, crampes et paresthésies;Accidents vasculaires cérébraux;73;340
Douleurs articulaires;Arthrose;67;129
Douleurs articulaires;Infections ostéo articulaires (IOA) de l'enfant et de l'adulte;67;156
Douleurs articulaires;Connaître les principaux types de vascularite systémique, les organes cibles, les outils diagnostiques et les moyens thérapeutiques;67;193
Douleurs articulaires;Lupus systémique (LS). Syndrome des anti-phospholipides (SAPL);67;194
Douleurs articulaires;Artérite à cellules géantes;67;195
Douleurs articulaires;Polyarthrite rhumatoïde;67;196
Douleurs articulaires;Spondyloarthrite;67;197
Douleurs articulaires;Arthropathies microcristallines;67;198
Douleurs articulaires;Syndrome douloureux régional complexe (ex algodystrophie);67;199
Douleurs articulaires;Douleur et épanchement articulaire. Arthrite d'évolution récente;67;200
Dyscalcémie;Hypercalcémie;200;268
Dyskaliémie;Électrocardiogramme : indications et interprétations;201;231
Dyskaliémie;Troubles de la conduction intracardiaque;201;236
Dyskaliémie;Palpitations;201;237
Dyskaliémie;Insuffisance surrénale chez l'adulte et l'enfant;201;245
Dyskaliémie;Élévation de la créatininémie;201;258
Dyskaliémie;Insuffisance rénale chronique chez l'adulte et l'enfant;201;264
Dyskaliémie;Troubles de l'équilibre acido-basique et désordres hydro-électrolytiques;201;267
Dyskaliémie;Vomissements du nourrisson, de l'enfant et de l'adulte;201;274
Dyskaliémie;Diarrhée chronique chez l'adulte et l'enfant;201;285
Dyskaliémie;Diarrhée aiguë et déshydratation chez le nourrisson, l'enfant et l'adulte;201;286
Dyskaliémie;Prescription et surveillance des classes de médicaments les plus courantes chez l'adulte et chez l'enfant, hors anti-infectieux (voir item 177). Connaître le bon usage des principales classes thérapeutiques;201;330
Dyskaliémie;Insuffisance rénale aiguë - Anurie;201;348
Dysnatrémie;Insuffisance cardiaque de l'adulte;202;234
Dysnatrémie;Insuffisance rénale chronique chez l'adulte et l'enfant;202;264
Dysnatrémie;Troubles de l'équilibre acido-basique et désordres hydro-électrolytiques;202;267
Dysnatrémie;Vomissements du nourrisson, de l'enfant et de l'adulte;202;274
Dysnatrémie;Cirrhose et complications;202;279
Dysnatrémie;Diarrhée aiguë et déshydratation chez le nourrisson, l'enfant et l'adulte;202;286
Dysnatrémie;État confusionnel et trouble de conscience chez l'adulte et chez l'enfant;202;343
Dysphonie;Trouble aigu de la parole. Dysphonie;146;88
Dysphonie;Principales techniques de rééducation et de réadaptation. (voir item 55);146;122
Dysphonie;Goitre, nodules thyroïdiens et cancers thyroïdiens;146;241
Dysphonie;Tumeurs de la cavité buccale, naso-sinusiennes et du cavum, et des voies aérodigestives supérieures;146;298
Dysphonie;Détresse et insuffisance respiratoire aigüe du nourrisson, de l'enfant et de l'adulte;146;359
Dyspnée;Addiction au tabac;162;75
Dyspnée;Soins palliatifs pluridisciplinaires chez un malade en phase palliative ou terminale d'une maladie grave, chronique ou létale (1). Principaux repères cliniques. Modalités d'organisation des équipes, en établissement de santé et en et en ambulatoire;162;139
Dyspnée;Soins palliatifs pluridisciplinaires chez un malade en phase palliative ou terminale d'une maladie grave, chronique ou létale (3). La sédation pour détresse en phase terminale et dans des situations spécifiques et complexes en fin de vie. Réponse à la demande d'euthanasie ou de suicide assisté;162;141
Dyspnée;Infections broncho pulmonaires communautaires de l'adulte et de l'enfant;162;154
Dyspnée;Hypersensibilité et allergies respiratoires chez l'enfant et chez l'adulte. Asthme, rhinite;162;188
